playerid,gameid,rating,owned,prevowned,fortrade,want,wanttoplay,wanttobuy,wishlist,preordered
['ksnyder86'],b'31260',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'119890',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'74',b'4',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'171663',b'6',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'551',b'6',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'760',b'8',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'37111',b'8',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'10547',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'822',b'8',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'13',b'8',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'31730',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'815',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'131357',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'148931',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'891',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'4424',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'11618',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'192457',b'7',b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'39856',b'5',b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'72125',b'10',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'184256',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'154785',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'131415',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'125898',b'10',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'179255',b'9',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'104746',b'8',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'172225',b'5',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'100901',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'162616',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'136063',b'6',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'65244',b'6',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'181279',b'10',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'31481',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'103343',b'9',b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'116',b'5',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'98778',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'1855',b'5',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'2655',b'9',b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'859',b'6',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'85204',b'8',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'110327',b'9',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'129622',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'183521',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'211593',b'6',b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'205322',b'4',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'2639',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'2651',b'10',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'3076',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'19370',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'17133',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'320',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'3633',b'5',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'231819',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'1917',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'123260',b'10',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'171007',b'4',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'145196',b'10',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'9209',b'10',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'182078',b'10',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'12333',b'9',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'170416',b'8',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'128621',b'8',b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'143508',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'163602',b'7',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
['ksnyder86'],b'205938',b'N/A',b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'0'
